id,nome,uf,regiao,microrregiao
5200050,Abadia de Goiás,GO,Centro-Oeste,Goiânia
3100104,Abadia dos Dourados,MG,Sudeste,Patrocínio
5200100,Abadiânia,GO,Centro-Oeste,Entorno de Brasília
3100203,Abaeté,MG,Sudeste,Três Marias
1500107,Abaetetuba,PA,Norte,Cametá
2300101,Abaiara,CE,Nordeste,Brejo Santo
2900108,Abaíra,BA,Nordeste,Seabra
2900207,Abaré,BA,Nordeste,Paulo Afonso
4100103,Abatiá,PR,Sul,Cornélio Procópio
4200051,Abdon Batista,SC,Sul,Curitibanos
1500131,Abel Figueiredo,PA,Norte,Paragominas
4200101,Abelardo Luz,SC,Sul,Xanxerê
3100302,Abre Campo,MG,Sudeste,Manhuaçu
2600054,Abreu e Lima,PE,Nordeste,Recife
1700251,Abreulândia,TO,Norte,Miracema do Tocantins
3100401,Acaiaca,MG,Sudeste,Ponte Nova
2100055,Açailândia,MA,Nordeste,Imperatriz
2900306,Acajutiba,BA,Nordeste,Alagoinhas
1500206,Acará,PA,Norte,Tomé-Açu
2300150,Acarape,CE,Nordeste,Baturité
2300200,Acaraú,CE,Nordeste,Litoral de Camocim e Acaraú
2400109,Acari,RN,Nordeste,Seridó Oriental
2200053,Acauã,PI,Nordeste,Alto Médio Canindé
4300034,Aceguá,RS,Sul,Campanha Meridional
2300309,Acopiara,CE,Nordeste,Sertão de Senador Pompeu
5100102,Acorizal,MT,Centro-Oeste,Rosário Oeste
1200013,Acrelândia,AC,Norte,Rio Branco
5200134,Acreúna,GO,Centro-Oeste,Vale do Rio dos Bois
3100500,Açucena,MG,Sudeste,Ipatinga
3500105,Adamantina,SP,Sudeste,Adamantina
5200159,Adelândia,GO,Centro-Oeste,Anicuns
3500204,Adolfo,SP,Sudeste,São José do Rio Preto
4100202,Adrianópolis,PR,Sul,Cerro Azul
2900355,Adustina,BA,Nordeste,Ribeira do Pombal
2600104,Afogados da Ingazeira,PE,Nordeste,Pajeú
2400307,Afonso Bezerra,RN,Nordeste,Angicos
3200102,Afonso Cláudio,ES,Sudeste,Afonso Cláudio
2100105,Afonso Cunha,MA,Nordeste,Coelho Neto
2600203,Afrânio,PE,Nordeste,Petrolina
1500305,Afuá,PA,Norte,Furos de Breves
2600302,Agrestina,PE,Nordeste,Brejo Pernambucano
2200103,Agricolândia,PI,Nordeste,Médio Parnaíba Piauiense
4200200,Agrolândia,SC,Sul,Ituporanga
4200309,Agronômica,SC,Sul,Rio do Sul
1500347,Água Azul do Norte,PA,Norte,Parauapebas
3100609,Água Boa,MG,Sudeste,Peçanha
5100201,Água Boa,MT,Centro-Oeste,Canarana
2700102,Água Branca,AL,Nordeste,Serrana do Sertão Alagoano
2200202,Água Branca,PI,Nordeste,Médio Parnaíba Piauiense
2500106,Água Branca,PB,Nordeste,Serra do Teixeira
5000203,Água Clara,MS,Centro-Oeste,Três Lagoas
3100708,Água Comprida,MG,Sudeste,Uberaba
4200408,Água Doce,SC,Sul,Joaçaba
2100154,Água Doce do Maranhão,MA,Nordeste,Baixo Parnaíba Maranhense
3200169,Água Doce do Norte,ES,Sudeste,Barra de São Francisco
2900405,Água Fria,BA,Nordeste,Feira de Santana
5200175,Água Fria de Goiás,GO,Centro-Oeste,Entorno de Brasília
5200209,Água Limpa,GO,Centro-Oeste,Meia Ponte
2400406,Água Nova,RN,Nordeste,Serra de São Miguel
2600401,Água Preta,PE,Nordeste,Mata Meridional Pernambucana
4300059,Água Santa,RS,Sul,Passo Fundo
3500303,Aguaí,SP,Sudeste,Pirassununga
3100807,Aguanil,MG,Sudeste,Campo Belo
2600500,Águas Belas,PE,Nordeste,Vale do Ipanema
3500402,Águas da Prata,SP,Sudeste,São João da Boa Vista
4200507,Águas de Chapecó,SC,Sul,Chapecó
3500501,Águas de Lindóia,SP,Sudeste,Amparo
3500550,Águas de Santa Bárbara,SP,Sudeste,Avaré
3500600,Águas de São Pedro,SP,Sudeste,Piracicaba
3100906,Águas Formosas,MG,Sudeste,Nanuque
4200556,Águas Frias,SC,Sul,Chapecó
5200258,Águas Lindas de Goiás,GO,Centro-Oeste,Entorno de Brasília
4200606,Águas Mornas,SC,Sul,Tabuleiro
