latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,regiao
-13.37606,-45.32422,306.48,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.44,1.23,N,Nordeste
-3.58012,-38.86013,304.39,0.41,0.45,2026-04-23,425,N,nominal,2.0NRT,290.75,1.44,N,Nordeste
-13.37662,-45.32059,307.22,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,289.65,1.43,N,Nordeste
-13.37998,-45.32113,321.02,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.73,1.43,N,Nordeste
-3.58068,-38.85645,309.16,0.41,0.45,2026-04-23,425,N,nominal,2.0NRT,291.44,1.08,N,Nordeste
-13.37887,-45.32839,306.62,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.63,1.23,N,Nordeste
-13.37942,-45.32476,310.22,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.9,1.23,N,Nordeste
-3.58836,-38.86142,304.53,0.41,0.45,2026-04-23,425,N,nominal,2.0NRT,290.9,1.19,N,Nordeste
-13.38333,-45.32167,329.31,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,292.02,1.54,N,Nordeste
-13.38222,-45.32892,306.54,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.78,1.04,N,Nordeste
-3.58892,-38.85774,303.94,0.41,0.45,2026-04-23,425,N,nominal,2.0NRT,291.0,1.37,N,Nordeste
-13.38278,-45.3253,311.52,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.92,1.04,N,Nordeste
-13.38389,-45.31805,307.42,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,289.44,1.54,N,Nordeste
-3.59305,-38.85838,339.09,0.41,0.45,2026-04-23,425,N,nominal,2.0NRT,292.81,2.83,N,Nordeste
-13.38558,-45.32946,302.21,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.31,1.04,N,Nordeste
-13.38614,-45.32584,309.61,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,290.05,1.04,N,Nordeste
-3.59717,-38.85901,315.85,0.41,0.45,2026-04-23,425,N,nominal,2.0NRT,290.61,2.83,N,Nordeste
-13.38669,-45.32221,304.22,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,288.41,1.54,N,Nordeste
-2.58196,-51.91955,302.31,0.61,0.54,2026-04-23,427,N,nominal,2.0NRT,282.5,2.37,N,Norte
-14.09772,-47.21007,315.52,0.39,0.36,2026-04-23,429,N,nominal,2.0NRT,291.36,1.13,N,Sudeste
-5.41707,-47.56867,304.99,0.45,0.39,2026-04-23,427,N,nominal,2.0NRT,291.31,1.01,N,Nordeste
-12.30048,-57.17988,302.99,0.47,0.64,2026-04-23,429,N,nominal,2.0NRT,285.42,0.97,N,Norte
-6.04007,-44.23376,322.04,0.39,0.36,2026-04-23,427,N,nominal,2.0NRT,289.77,1.59,N,Nordeste
-12.3064,-57.18106,303.37,0.47,0.64,2026-04-23,429,N,nominal,2.0NRT,285.34,0.97,N,Norte
-8.78681,-44.83239,308.25,0.39,0.36,2026-04-23,427,N,nominal,2.0NRT,290.02,0.76,N,Nordeste
-15.15754,-41.2935,322.23,0.41,0.45,2026-04-23,429,N,nominal,2.0NRT,288.83,2.34,N,Sudeste
-10.00328,-48.67715,308.22,0.46,0.39,2026-04-23,427,N,nominal,2.0NRT,291.71,1.44,N,Norte
-15.15804,-41.28968,303.84,0.41,0.45,2026-04-23,429,N,nominal,2.0NRT,287.96,1.16,N,Sudeste
-10.00823,-48.66952,309.42,0.46,0.39,2026-04-23,427,N,nominal,2.0NRT,291.68,1.13,N,Norte
-13.00332,-55.97717,302.38,0.38,0.59,2026-04-23,429,N,nominal,2.0NRT,286.13,1.49,N,Centro-Oeste
