uf,score,nivel,comp_prec,comp_enso,comp_queimadas,comp_temp,anomalia_precip_pct,anomalia_temp_c,oni_ref,focos_7d,fonte_precip,fonte_temp,dados_limitados
GO,67.6,ATENCAO,90.5,48.8,76.9,30.3,-52.4,1.81,-0.06,273,Open-Meteo/ERA5,Open-Meteo/ERA5,False
RJ,64.4,ATENCAO,90.0,49.5,65.4,27.5,-50.1,1.61,-0.06,160,Open-Meteo/ERA5,Open-Meteo/ERA5,False
RO,58.5,ATENCAO,81.3,48.9,50.0,35.5,151.1,2.18,-0.06,88,Open-Meteo/ERA5,Open-Meteo/ERA5,False
ES,55.9,ATENCAO,64.5,49.3,61.5,37.3,-34.7,2.31,-0.06,149,Open-Meteo/ERA5,Open-Meteo/ERA5,False
MS,55.7,ATENCAO,60.0,48.9,73.1,27.7,80.0,1.62,-0.06,224,Open-Meteo/ERA5,Open-Meteo/ERA5,False
MG,53.1,ATENCAO,40.2,49.2,100.0,11.9,-20.1,0.49,-0.06,955,Open-Meteo/ERA5,Open-Meteo/ERA5,False
RS,52.7,ATENCAO,30.7,51.7,88.5,46.3,13.8,2.95,-0.06,340,Open-Meteo/ERA5,Open-Meteo/ERA5,False
SP,51.7,ATENCAO,39.9,49.4,92.3,15.4,49.9,0.74,-0.06,476,Open-Meteo/ERA5,Open-Meteo/ERA5,False
MT,48.3,ATENCAO,29.8,48.7,80.8,36.6,13.2,2.26,-0.06,284,Open-Meteo/ERA5,Open-Meteo/ERA5,False
PR,48.0,ATENCAO,42.8,51.4,69.2,19.0,-21.7,1.0,-0.06,187,Open-Meteo/ERA5,Open-Meteo/ERA5,False
BA,45.7,ATENCAO,19.4,48.6,96.2,17.9,6.3,0.92,-0.06,554,Open-Meteo/ERA5,Open-Meteo/ERA5,False
TO,45.4,ATENCAO,31.3,48.8,84.6,7.1,-14.2,0.15,-0.06,312,Open-Meteo/ERA5,Open-Meteo/ERA5,False
SC,45.4,ATENCAO,24.5,51.5,57.7,63.4,-9.7,4.17,-0.06,133,Open-Meteo/ERA5,Open-Meteo/ERA5,False
CE,41.9,NORMAL,66.1,48.1,26.9,0.0,100.2,-0.99,-0.06,22,Open-Meteo/ERA5,Open-Meteo/ERA5,False
AC,40.4,NORMAL,62.0,48.8,7.7,30.6,86.5,1.83,-0.06,4,Open-Meteo/ERA5,Open-Meteo/ERA5,True
MA,39.9,NORMAL,40.7,48.7,53.8,0.0,51.1,-1.05,-0.06,129,Open-Meteo/ERA5,Open-Meteo/ERA5,False
RN,37.7,NORMAL,70.4,48.2,3.8,0.0,114.8,-1.14,-0.06,1,Open-Meteo/ERA5,Open-Meteo/ERA5,False
PA,37.6,NORMAL,38.7,48.8,46.2,1.8,48.1,-0.23,-0.06,78,Open-Meteo/ERA5,Open-Meteo/ERA5,False
PB,33.3,NORMAL,49.7,48.2,15.4,0.0,64.5,-0.45,-0.06,8,Open-Meteo/ERA5,Open-Meteo/ERA5,False
AM,31.4,NORMAL,25.3,48.7,34.6,11.3,-10.2,0.45,-0.06,36,Open-Meteo/ERA5,Open-Meteo/ERA5,True
PE,30.7,NORMAL,25.6,48.3,38.5,0.0,28.4,-0.39,-0.06,42,Open-Meteo/ERA5,Open-Meteo/ERA5,False
PI,30.6,NORMAL,22.8,48.3,42.3,0.0,24.2,-0.8,-0.06,74,Open-Meteo/ERA5,Open-Meteo/ERA5,False
SE,30.6,NORMAL,33.7,48.5,19.2,12.3,-15.8,0.52,-0.06,15,Open-Meteo/ERA5,Open-Meteo/ERA5,False
AL,30.4,NORMAL,28.0,48.4,30.8,5.6,-12.0,0.04,-0.06,27,Open-Meteo/ERA5,Open-Meteo/ERA5,False
DF,29.0,NORMAL,35.4,48.9,11.5,10.2,43.1,0.37,-0.06,7,Open-Meteo/ERA5,Open-Meteo/ERA5,False
RR,27.4,NORMAL,25.8,49.0,19.2,8.8,28.7,0.27,-0.06,15,Open-Meteo/ERA5,Open-Meteo/ERA5,True
AP,19.3,NORMAL,20.2,49.1,0.0,0.0,20.3,-0.52,-0.06,0,Open-Meteo/ERA5,Open-Meteo/ERA5,True
